   ETEX Release 1 on 23 October 1994    PMCH concentrations in ng/m3 above ambient level         Version etex1_v1.1.960505                                       
              1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30
  85  F04    .00   .00   .00   .00   .00   .00   .01   .03   .02   .03   .02   .03   .03   .03   .03  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  86  F05    .00   .00   .00   .00   .00   .00   .00  -.88   .09  -.88  -.88   .08   .05  -.88  -.88   .03   .07  -.88  -.88   .07   .08  -.88   .07  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  87  F06   -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  88  F07    .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  89  F08    .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  90  F09   -.88  -.88  -.88  -.88  -.88  -.88  -.88  2.84   .00   .00   .02   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  91  F10   -.99  -.99  -.99  -.99  -.99  -.99  -.99   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  92  F11   -.99  -.99  -.99   .02   .02   .00   .05   .02   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  93  F12    .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  94  F13    .00   .00   .00   .00   .00   .12   .29   .05   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  95  F14   -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88   .04   .07   .07   .08   .14   .12  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  96  F15    .00   .00   .00   .00   .00   .90  1.58  1.68   .41   .07   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  97  F16    .00   .00   .00   .00   .07  1.21  -.99   .66   .07   .02   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  98  F17    .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.88   .00  -.88  -.99  -.99  -.99  -.99  -.99  -.99
  99  F18   -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99
 100  F19    .00   .00   .04  1.49  1.47  2.27  2.46   .72   .01   .01   .01   .01   .01   .01   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99  -.99  -.99
 101  F20    .05   .00   .05   .55  1.68  -.88  1.18  -.88   .87   .05   .06   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99  -.99  -.99
